frame_number,timestamp,zone_id,zone_name,density,crowd_count_estimate,status
12,2025-08-23T08:02:21.109156,2,Zone 1-3,0.00021730403105417887,50,normal
12,2025-08-23T08:02:21.109156,3,Zone 2-1,5.9189572930336e-05,13,normal
12,2025-08-23T08:02:21.109156,4,Zone 2-2,0.0001555248432689243,35,normal
12,2025-08-23T08:02:21.109156,5,Zone 2-3,0.00018909229172600641,43,normal
12,2025-08-23T08:02:21.109156,6,Zone 3-1,8.811498681704204e-05,20,normal
12,2025-08-23T08:02:21.109156,7,Zone 3-2,0.0002338940567440457,53,normal
12,2025-08-23T08:02:21.109156,8,Zone 3-3,0.00015176736646228367,34,normal
13,2025-08-23T08:02:26.674685,0,Zone 1-1,8.982569807105594e-05,20,normal
13,2025-08-23T08:02:26.674685,1,Zone 1-2,0.0002526825997564528,58,normal
13,2025-08-23T08:02:26.674685,2,Zone 1-3,0.00020340912871890597,46,normal
13,2025-08-23T08:02:26.674685,3,Zone 2-1,6.875451240274641e-05,15,normal
13,2025-08-23T08:02:26.674685,4,Zone 2-2,0.00014831470118628607,34,normal
13,2025-08-23T08:02:26.674685,5,Zone 2-3,0.00018862739205360412,43,normal
13,2025-08-23T08:02:26.674685,6,Zone 3-1,9.035160144170125e-05,20,normal
13,2025-08-23T08:02:26.674685,7,Zone 3-2,0.00024358585476875306,56,normal
13,2025-08-23T08:02:26.674685,8,Zone 3-3,0.00015700010789765253,36,normal
14,2025-08-23T08:02:32.252678,0,Zone 1-1,9.162240558200412e-05,21,normal
14,2025-08-23T08:02:32.252678,1,Zone 1-2,0.00025348693132400514,58,normal
14,2025-08-23T08:02:32.252678,2,Zone 1-3,0.00019871743188963997,45,normal
14,2025-08-23T08:02:32.252678,3,Zone 2-1,7.031322353416019e-05,16,normal
14,2025-08-23T08:02:32.252678,4,Zone 2-2,0.00015138420793745253,34,normal
14,2025-08-23T08:02:32.252678,5,Zone 2-3,0.00020843583676550124,47,normal
14,2025-08-23T08:02:32.252678,6,Zone 3-1,8.286525805791218e-05,19,normal
14,2025-08-23T08:02:32.252678,7,Zone 3-2,0.00023949167794651456,55,normal
14,2025-08-23T08:02:32.252678,8,Zone 3-3,0.00014634776446554397,33,normal
15,2025-08-23T08:02:37.900677,0,Zone 1-1,9.569900731245677e-05,22,normal
15,2025-08-23T08:02:37.900677,1,Zone 1-2,0.00025641628437572054,59,normal
15,2025-08-23T08:02:37.900677,2,Zone 1-3,0.00021118443873193528,48,normal
15,2025-08-23T08:02:37.900677,3,Zone 2-1,6.921209394931793e-05,15,normal
15,2025-08-23T08:02:37.900677,4,Zone 2-2,0.0001580888695187039,36,normal
15,2025-08-23T08:02:37.900677,5,Zone 2-3,0.00020574844545788234,47,normal
15,2025-08-23T08:02:37.900677,6,Zone 3-1,8.569328321350946e-05,19,normal
15,2025-08-23T08:02:37.900677,7,Zone 3-2,0.0002450207206938002,56,normal
15,2025-08-23T08:02:37.900677,8,Zone 3-3,0.00014973160293367175,34,normal
16,2025-08-23T08:02:43.455585,0,Zone 1-1,8.733961317274306e-05,20,normal
16,2025-08-23T08:02:43.455585,1,Zone 1-2,0.00023404339949289959,53,normal
16,2025-08-23T08:02:43.455585,2,Zone 1-3,0.0001853574315706889,42,normal
16,2025-08-23T08:02:43.455585,3,Zone 2-1,6.341541806856791e-05,14,normal
16,2025-08-23T08:02:43.455585,4,Zone 2-2,0.0001519493924246894,34,normal
16,2025-08-23T08:02:43.455585,5,Zone 2-3,0.0001944067743089464,44,normal
16,2025-08-23T08:02:43.455585,6,Zone 3-1,8.75366727511088e-05,20,normal
16,2025-08-23T08:02:43.455585,7,Zone 3-2,0.00023864772584703233,54,normal
16,2025-08-23T08:02:43.455585,8,Zone 3-3,0.00014999833371904161,34,normal
17,2025-08-23T08:02:49.166143,0,Zone 1-1,8.714915977583991e-05,20,normal
17,2025-08-23T08:02:49.166143,1,Zone 1-2,0.0002622791131337484,60,normal
17,2025-08-23T08:02:49.166143,2,Zone 1-3,0.00021621714035669962,49,normal
17,2025-08-23T08:02:49.166143,3,Zone 2-1,7.294429673088922e-05,16,normal
17,2025-08-23T08:02:49.166143,4,Zone 2-2,0.00014554972449938456,33,normal
17,2025-08-23T08:02:49.166143,5,Zone 2-3,0.0001812605063120524,41,normal
17,2025-08-23T08:02:49.166143,6,Zone 3-1,8.485188086827596e-05,19,normal
17,2025-08-23T08:02:49.166143,7,Zone 3-2,0.00024757069018152024,56,normal
17,2025-08-23T08:02:49.166143,8,Zone 3-3,0.0001560720635784997,35,normal
18,2025-08-23T08:02:54.772283,0,Zone 1-1,8.402436971664428e-05,19,normal
18,2025-08-23T08:02:54.772283,1,Zone 1-2,0.00025639091928799946,59,normal
18,2025-08-23T08:02:54.772283,2,Zone 1-3,0.0002270734641287062,52,normal
