frame_number,timestamp,total_crowd_count,overall_density,zone_1_1_density,zone_1_2_density,zone_1_3_density,zone_2_1_density,zone_2_2_density,zone_2_3_density,zone_3_1_density,zone_3_2_density,zone_3_3_density,alerts_count,high_alerts,medium_alerts
62,2025-08-23T11:25:00.757058,6,6.5851935e-05,0.000109257664,4.0563486e-05,9.423048e-05,5.8136986e-05,5.1839e-05,0.0001327907,7.405792e-05,1.9810988e-05,1.1980258e-05,0,0,0
63,2025-08-23T11:25:00.800485,7,6.7243665e-05,0.00010953817,4.014052e-05,9.180724e-05,5.3733525e-05,6.0866365e-05,0.00014805904,6.156279e-05,2.5417816e-05,1.40675065e-05,0,0,0
64,2025-08-23T11:25:00.844923,7,6.8169815e-05,9.143722e-05,4.074219e-05,8.3491024e-05,5.138012e-05,8.337568e-05,0.00015385367,5.981982e-05,3.4921653e-05,1.45069325e-05,0,0,0
65,2025-08-23T11:25:00.888905,7,7.040202e-05,9.979759e-05,3.8903512e-05,8.4663654e-05,4.139405e-05,7.8947116e-05,0.00017520998,5.6215853e-05,4.7596335e-05,1.0890132e-05,0,0,0
66,2025-08-23T11:25:00.933741,6,6.505037e-05,0.00011038975,4.570715e-05,7.513272e-05,3.6781854e-05,8.1301114e-05,0.00013149579,4.954613e-05,4.714362e-05,7.955261e-06,0,0,0
67,2025-08-23T11:25:00.979075,6,6.24453e-05,0.00010334012,4.76187e-05,7.309219e-05,3.537551e-05,8.0544916e-05,0.00012389595,4.2015854e-05,4.9828912e-05,6.2955523e-06,0,0,0
68,2025-08-23T11:25:01.023263,7,6.842443e-05,0.00010803638,4.5394252e-05,7.721734e-05,3.9232935e-05,7.123817e-05,0.00016240362,4.2758773e-05,6.345369e-05,6.0847437e-06,0,0,0
69,2025-08-23T11:25:01.067470,7,6.71687e-05,0.00010973049,4.3387823e-05,7.526208e-05,3.7572176e-05,6.57489e-05,0.00016989815,4.2607164e-05,5.0955634e-05,9.355864e-06,0,0,0
70,2025-08-23T11:25:01.148023,7,7.259686e-05,0.00011276086,5.1329636e-05,7.652613e-05,3.9135994e-05,9.3480696e-05,0.00016901811,3.7161815e-05,6.285675e-05,1.1101742e-05,0,0,0
71,2025-08-23T11:25:01.214113,7,7.294337e-05,0.00011071163,5.1902036e-05,8.136024e-05,3.261601e-05,9.94561e-05,0.00016878269,3.062938e-05,6.2698186e-05,1.8333933e-05,0,0,0
