frame_number,timestamp,zone_id,zone_name,density,crowd_count_estimate,status
18,2025-08-23T10:17:13.894899,1,Zone 1-2,5.519529e-06,1,normal
18,2025-08-23T10:17:13.894899,2,Zone 1-3,1.0744127e-05,2,normal
18,2025-08-23T10:17:13.894899,3,Zone 2-1,0.00054124166,124,normal
18,2025-08-23T10:17:13.894899,4,Zone 2-2,0.00019237187,44,normal
18,2025-08-23T10:17:13.894899,5,Zone 2-3,0.00017045437,39,normal
18,2025-08-23T10:17:13.894899,6,Zone 3-1,6.974396e-05,16,normal
18,2025-08-23T10:17:13.894899,7,Zone 3-2,6.02503e-05,13,normal
18,2025-08-23T10:17:13.894899,8,Zone 3-3,0.00015763292,36,normal
19,2025-08-23T10:17:14.350936,0,Zone 1-1,7.75137e-06,1,normal
19,2025-08-23T10:17:14.350936,1,Zone 1-2,5.7250513e-06,1,normal
19,2025-08-23T10:17:14.350936,2,Zone 1-3,1.3103976e-05,3,normal
19,2025-08-23T10:17:14.350936,3,Zone 2-1,0.0005771524,132,normal
19,2025-08-23T10:17:14.350936,4,Zone 2-2,0.0002743661,63,normal
19,2025-08-23T10:17:14.350936,5,Zone 2-3,0.00017683115,40,normal
19,2025-08-23T10:17:14.350936,6,Zone 3-1,6.8451045e-05,15,normal
19,2025-08-23T10:17:14.350936,7,Zone 3-2,6.214141e-05,14,normal
19,2025-08-23T10:17:14.350936,8,Zone 3-3,0.00015745127,36,normal
20,2025-08-23T10:17:14.804435,0,Zone 1-1,5.450818e-06,1,normal
20,2025-08-23T10:17:14.804435,1,Zone 1-2,4.7731774e-06,1,normal
20,2025-08-23T10:17:14.804435,2,Zone 1-3,1.409275e-05,3,normal
20,2025-08-23T10:17:14.804435,3,Zone 2-1,0.00052223523,119,normal
20,2025-08-23T10:17:14.804435,4,Zone 2-2,0.00020299852,46,normal
20,2025-08-23T10:17:14.804435,5,Zone 2-3,0.00017525868,40,normal
20,2025-08-23T10:17:14.804435,6,Zone 3-1,6.937116e-05,15,normal
20,2025-08-23T10:17:14.804435,7,Zone 3-2,6.14954e-05,14,normal
20,2025-08-23T10:17:14.804435,8,Zone 3-3,0.00015449835,35,normal
21,2025-08-23T10:17:15.257843,0,Zone 1-1,7.5758276e-06,1,normal
21,2025-08-23T10:17:15.257843,1,Zone 1-2,4.897462e-06,1,normal
21,2025-08-23T10:17:15.257843,2,Zone 1-3,1.2344262e-05,2,normal
21,2025-08-23T10:17:15.257843,3,Zone 2-1,0.0005416581,124,normal
21,2025-08-23T10:17:15.257843,4,Zone 2-2,0.00023666378,54,normal
21,2025-08-23T10:17:15.257843,5,Zone 2-3,0.00017759827,40,normal
21,2025-08-23T10:17:15.257843,6,Zone 3-1,7.1468836e-05,16,normal
21,2025-08-23T10:17:15.257843,7,Zone 3-2,5.8591988e-05,13,normal
21,2025-08-23T10:17:15.257843,8,Zone 3-3,0.00015577374,35,normal
22,2025-08-23T10:17:15.708359,0,Zone 1-1,7.930998e-06,1,normal
22,2025-08-23T10:17:15.708359,1,Zone 1-2,5.3751764e-06,1,normal
22,2025-08-23T10:17:15.708359,2,Zone 1-3,9.971278e-06,2,normal
22,2025-08-23T10:17:15.708359,3,Zone 2-1,0.00054441683,125,normal
22,2025-08-23T10:17:15.708359,4,Zone 2-2,0.00018796137,43,normal
22,2025-08-23T10:17:15.708359,5,Zone 2-3,0.00017540513,40,normal
22,2025-08-23T10:17:15.708359,6,Zone 3-1,7.464474e-05,17,normal
22,2025-08-23T10:17:15.708359,7,Zone 3-2,6.0112445e-05,13,normal
22,2025-08-23T10:17:15.708359,8,Zone 3-3,0.0001645703,37,normal
23,2025-08-23T10:17:16.158132,0,Zone 1-1,8.021622e-06,1,normal
23,2025-08-23T10:17:16.158132,1,Zone 1-2,4.0625164e-06,0,normal
23,2025-08-23T10:17:16.158132,2,Zone 1-3,1.1613038e-05,2,normal
23,2025-08-23T10:17:16.158132,3,Zone 2-1,0.0005562989,128,normal
23,2025-08-23T10:17:16.158132,4,Zone 2-2,0.00024408665,56,normal
23,2025-08-23T10:17:16.158132,5,Zone 2-3,0.0001789709,41,normal
23,2025-08-23T10:17:16.158132,6,Zone 3-1,7.4112744e-05,17,normal
23,2025-08-23T10:17:16.158132,7,Zone 3-2,5.878815e-05,13,normal
23,2025-08-23T10:17:16.158132,8,Zone 3-3,0.00016627148,38,normal
24,2025-08-23T10:17:16.612957,0,Zone 1-1,7.690139e-06,1,normal
24,2025-08-23T10:17:16.612957,1,Zone 1-2,5.349175e-06,1,normal
24,2025-08-23T10:17:16.612957,2,Zone 1-3,1.0491605e-05,2,normal
24,2025-08-23T10:17:16.612957,3,Zone 2-1,0.0005018618,115,normal
24,2025-08-23T10:17:16.612957,4,Zone 2-2,0.00023688174,54,normal
24,2025-08-23T10:17:16.612957,5,Zone 2-3,0.00016588079,38,normal
24,2025-08-23T10:17:16.612957,6,Zone 3-1,7.297944e-05,16,normal
24,2025-08-23T10:17:16.612957,7,Zone 3-2,5.732069e-05,13,normal
24,2025-08-23T10:17:16.612957,8,Zone 3-3,0.00015032828,34,normal
25,2025-08-23T10:17:17.062435,0,Zone 1-1,6.7018427e-06,1,normal
25,2025-08-23T10:17:17.062435,1,Zone 1-2,5.808756e-06,1,normal
25,2025-08-23T10:17:17.062435,2,Zone 1-3,1.1340506e-05,2,normal
25,2025-08-23T10:17:17.062435,3,Zone 2-1,0.00051110296,117,normal
25,2025-08-23T10:17:17.062435,4,Zone 2-2,0.00021966833,50,normal
25,2025-08-23T10:17:17.062435,5,Zone 2-3,0.00016724547,38,normal
25,2025-08-23T10:17:17.062435,6,Zone 3-1,7.993163e-05,18,normal
25,2025-08-23T10:17:17.062435,7,Zone 3-2,5.7801975e-05,13,normal
25,2025-08-23T10:17:17.062435,8,Zone 3-3,0.00015277164,35,normal
26,2025-08-23T10:17:17.514293,0,Zone 1-1,7.687014e-06,1,normal
26,2025-08-23T10:17:17.514293,1,Zone 1-2,5.391309e-06,1,normal
26,2025-08-23T10:17:17.514293,2,Zone 1-3,1.002161e-05,2,normal
26,2025-08-23T10:17:17.514293,3,Zone 2-1,0.00049221504,113,normal
26,2025-08-23T10:17:17.514293,4,Zone 2-2,0.0002065802,47,normal
26,2025-08-23T10:17:17.514293,5,Zone 2-3,0.00015707462,36,normal
26,2025-08-23T10:17:17.514293,6,Zone 3-1,7.636949e-05,17,normal
26,2025-08-23T10:17:17.514293,7,Zone 3-2,6.3381754e-05,14,normal
26,2025-08-23T10:17:17.514293,8,Zone 3-3,0.00015290658,35,normal
27,2025-08-23T10:17:17.962309,0,Zone 1-1,9.1944885e-06,2,normal
27,2025-08-23T10:17:17.962309,1,Zone 1-2,4.384711e-06,1,normal
