frame,timestamp,crowd_count,avg_magnitude,max_magnitude,direction_variance,confidence_score,stampede_detected,crowd_score,motion_score,chaos_score
128,2025-08-23T09:28:32.701709,14,1.1004160642623901,50.11876678466797,3.2507965564727783,57.338880856831864,No,0.28,0.44016642570495607,1.0
130,2025-08-23T09:28:33.291228,14,1.089534878730774,64.36959075927734,2.828900098800659,57.19379838307699,No,0.28,0.43581395149230956,1.0
132,2025-08-23T09:28:33.939526,13,1.082645058631897,52.3934211730957,2.519287347793579,56.4352674484253,No,0.26,0.4330580234527588,1.0
134,2025-08-23T09:28:34.504847,15,1.1066545248031616,48.754024505615234,2.4114809036254883,58.088726997375495,No,0.3,0.44266180992126464,1.0
136,2025-08-23T09:28:35.117159,16,1.4269413948059082,53.85297393798828,2.465402603149414,63.025885264078774,No,0.32,0.5707765579223633,1.0
138,2025-08-23T09:28:35.646751,19,1.0562680959701538,31.820114135742188,2.2324166297912598,60.08357461293539,No,0.38,0.42250723838806153,1.0
140,2025-08-23T09:28:36.177085,15,1.0467745065689087,31.047807693481445,2.6390655040740967,57.29032675425212,No,0.3,0.41870980262756347,1.0
142,2025-08-23T09:28:36.734817,13,1.0048071146011353,54.415409088134766,2.481955051422119,55.39742819468181,No,0.26,0.4019228458404541,1.0
144,2025-08-23T09:28:37.375105,14,0.9897229671478271,41.32823181152344,2.6812222003936768,55.86297289530437,No,0.28,0.3958891868591309,1.0
146,2025-08-23T09:28:38.012916,15,1.0290685892105103,56.13670349121094,2.4299421310424805,57.05424785614014,No,0.3,0.4116274356842041,1.0
148,2025-08-23T09:28:38.597614,12,1.0221210718154907,40.9402961730957,2.221179723739624,54.961614290873214,No,0.24,0.4088484287261963,1.0
150,2025-08-23T09:28:39.233025,14,0.9956605434417725,42.54557418823242,1.8423157930374146,55.94214057922363,No,0.28,0.398264217376709,1.0
152,2025-08-23T09:28:39.842626,15,0.9555754661560059,56.50595474243164,1.908061146736145,56.07433954874674,No,0.3,0.38223018646240237,1.0
154,2025-08-23T09:28:40.422502,14,0.9422029852867126,60.66093063354492,2.437283515930176,55.229373137156166,No,0.28,0.37688119411468507,1.0
156,2025-08-23T09:28:41.015154,14,0.8056488037109375,55.9217643737793,2.5634074211120605,53.408650716145836,No,0.28,0.322259521484375,1.0
158,2025-08-23T09:28:41.610005,14,0.8702127933502197,34.59738540649414,3.05566668510437,54.26950391133626,No,0.28,0.3480851173400879,1.0
160,2025-08-23T09:28:42.236998,14,0.6031913161277771,17.739856719970703,2.3214805126190186,50.70921754837037,No,0.28,0.24127652645111083,1.0
162,2025-08-23T09:28:42.826807,14,0.6165940761566162,47.27096176147461,2.537595510482788,50.887921015421554,No,0.28,0.24663763046264647,1.0
164,2025-08-23T09:28:43.380902,12,0.637347936630249,33.63640213012695,3.0827434062957764,49.83130582173665,No,0.24,0.2549391746520996,1.0
166,2025-08-23T09:28:43.914705,12,0.5970441102981567,32.269229888916016,2.9798898696899414,49.29392147064209,No,0.24,0.2388176441192627,1.0
168,2025-08-23T09:28:44.505917,13,0.575230598449707,22.17335319519043,3.0728068351745605,49.66974131266276,No,0.26,0.23009223937988282,1.0
170,2025-08-23T09:28:45.113856,12,0.556178867816925,23.68317413330078,3.188328981399536,48.749051570892334,No,0.24,0.22247154712677003,1.0
172,2025-08-23T09:28:45.715720,11,0.5991780161857605,28.655689239501953,3.1773154735565186,48.65570688247681,No,0.22,0.2396712064743042,1.0
174,2025-08-23T09:28:46.328616,12,0.6307774186134338,30.566741943359375,3.251129150390625,49.74369891484578,No,0.24,0.2523109674453735,1.0
176,2025-08-23T09:28:46.945016,13,0.663447380065918,40.47706604003906,3.470911741256714,50.84596506754557,No,0.26,0.2653789520263672,1.0
178,2025-08-23T09:28:47.546053,15,0.6754376888275146,63.98373031616211,3.8870277404785156,52.33916918436686,No,0.3,0.27017507553100584,1.0
180,2025-08-23T09:28:48.067884,10,0.7289679050445557,81.71084594726562,4.39815092086792,49.71957206726074,No,0.2,0.29158716201782225,1.0
182,2025-08-23T09:28:48.666895,10,0.8712289929389954,46.43620681762695,4.034550666809082,51.616386572519936,No,0.2,0.34849159717559813,1.0
184,2025-08-23T09:28:49.181758,10,0.5885127782821655,27.46091651916504,3.450157403945923,47.84683704376221,No,0.2,0.2354051113128662,1.0
186,2025-08-23T09:28:49.763766,13,0.5900959372520447,40.02065658569336,3.24452543258667,49.86794583002727,No,0.26,0.23603837490081786,1.0
188,2025-08-23T09:28:50.351643,11,0.49697044491767883,33.656471252441406,3.4448606967926025,47.29293926556905,No,0.22,0.19878817796707154,1.0
190,2025-08-23T09:28:50.956349,11,0.46709969639778137,43.92490005493164,3.4265694618225098,46.894662618637085,No,0.22,0.18683987855911255,1.0
192,2025-08-23T09:28:51.579895,12,0.45438918471336365,25.689790725708008,3.2501015663146973,47.39185579617818,No,0.24,0.18175567388534547,1.0
194,2025-08-23T09:28:52.142523,12,0.48832279443740845,25.44460105895996,3.3099265098571777,47.844303925832115,No,0.24,0.19532911777496337,1.0
196,2025-08-23T09:28:52.706936,13,0.5166246891021729,20.797800064086914,2.989640712738037,48.88832918802897,No,0.26,0.20664987564086915,1.0
198,2025-08-23T09:28:53.231938,13,0.5486775040626526,23.181751251220703,2.9579806327819824,49.3157000541687,No,0.26,0.21947100162506103,1.0
200,2025-08-23T09:28:53.758495,12,0.583313524723053,21.938335418701172,2.6974966526031494,49.11084699630737,No,0.24,0.23332540988922118,1.0
202,2025-08-23T09:28:54.314099,11,0.6073883175849915,23.082717895507812,2.6031994819641113,48.76517756779988,No,0.22,0.24295532703399658,1.0
204,2025-08-23T09:28:54.919614,11,0.6255749464035034,70.64269256591797,2.8285512924194336,49.007665952046715,No,0.22,0.2502299785614014,1.0
206,2025-08-23T09:28:55.521660,12,0.8753052353858948,44.6502685546875,2.7364535331726074,53.00406980514526,No,0.24,0.3501220941543579,1.0
208,2025-08-23T09:28:56.097442,13,0.6337458491325378,22.293712615966797,2.7743213176727295,50.44994465510051,No,0.26,0.25349833965301516,1.0
210,2025-08-23T09:28:56.717945,11,0.596490740776062,23.487079620361328,2.7987165451049805,48.61987654368083,No,0.22,0.2385962963104248,1.0
212,2025-08-23T09:28:57.307268,11,0.57627272605896,27.07115936279297,2.7054882049560547,48.35030301411947,No,0.22,0.23050909042358397,1.0
214,2025-08-23T09:28:57.893356,11,0.5585760474205017,29.975910186767578,2.7137579917907715,48.114347298940025,No,0.22,0.22343041896820068,1.0
216,2025-08-23T09:28:58.425717,11,0.5472812056541443,43.007198333740234,2.690833330154419,47.963749408721924,No,0.22,0.21891248226165771,1.0
218,2025-08-23T09:28:58.950307,11,0.48183077573776245,39.22649002075195,2.972296953201294,47.09107700983684,No,0.22,0.19273231029510499,1.0
220,2025-08-23T09:28:59.495144,12,0.48343929648399353,42.80714797973633,2.916217803955078,47.779190619786576,No,0.24,0.19337571859359742,1.0
222,2025-08-23T09:29:00.080332,12,0.5435841679573059,46.81221389770508,2.2761526107788086,48.58112223943074,No,0.24,0.21743366718292237,1.0
224,2025-08-23T09:29:00.656903,16,0.5722610950469971,29.2764835357666,2.061563730239868,51.63014793395996,No,0.32,0.22890443801879884,1.0
226,2025-08-23T09:29:01.231852,15,0.5538375377655029,29.534936904907227,2.066431760787964,50.717833836873375,No,0.3,0.22153501510620116,1.0
228,2025-08-23T09:29:01.830646,14,0.5650923252105713,46.082794189453125,2.032968759536743,50.201231002807624,No,0.28,0.2260369300842285,1.0
230,2025-08-23T09:29:02.521739,13,0.5889847874641418,53.72303771972656,2.6411681175231934,49.85313049952189,No,0.26,0.23559391498565674,1.0
232,2025-08-23T09:29:03.085804,13,0.4082747995853424,29.0383358001709,3.1582930088043213,47.44366399447124,No,0.26,0.16330991983413695,1.0
234,2025-08-23T09:29:03.655888,14,0.39916226267814636,29.914714813232422,3.2118024826049805,47.98883016904195,No,0.28,0.15966490507125855,1.0
