frame_number,timestamp,total_crowd_count,overall_density,zone_1_1_density,zone_1_2_density,zone_1_3_density,zone_2_1_density,zone_2_2_density,zone_2_3_density,zone_3_1_density,zone_3_2_density,zone_3_3_density,alerts_count,high_alerts,medium_alerts
14,2025-08-23T10:17:12.079908,300,0.00014482794,1.1433713e-05,5.5084197e-06,1.1423707e-05,0.0005427663,0.00024868792,0.00017917834,7.591024e-05,6.0357812e-05,0.00016818494,0,0,0
15,2025-08-23T10:17:12.531957,319,0.0001539862,1.1025024e-05,4.347001e-06,1.1235692e-05,0.0005913973,0.00027592748,0.00018939978,7.6766824e-05,5.9927526e-05,0.00016584912,0,0,0
16,2025-08-23T10:17:12.984042,306,0.00014801491,8.165081e-06,5.8442324e-06,9.050988e-06,0.0005637158,0.00027759722,0.00017781416,7.085912e-05,5.775634e-05,0.00016133122,0,0,0
17,2025-08-23T10:17:13.438145,293,0.00014151484,7.942044e-06,7.1787317e-06,1.2214031e-05,0.0005567741,0.00022311589,0.00017784204,6.9517395e-05,5.7298956e-05,0.00016175037,0,0,0
18,2025-08-23T10:17:13.894423,280,0.00013523122,9.122183e-06,5.519529e-06,1.0744127e-05,0.00054124166,0.00019237187,0.00017045437,6.974396e-05,6.02503e-05,0.00015763292,0,0,0
19,2025-08-23T10:17:14.350477,309,0.00014921931,7.75137e-06,5.7250513e-06,1.3103976e-05,0.0005771524,0.0002743661,0.00017683115,6.8451045e-05,6.214141e-05,0.00015745127,0,0,0
20,2025-08-23T10:17:14.804001,278,0.00013446379,5.450818e-06,4.7731774e-06,1.409275e-05,0.00052223523,0.00020299852,0.00017525868,6.937116e-05,6.14954e-05,0.00015449835,0,0,0
21,2025-08-23T10:17:15.257352,291,0.00014073023,7.5758276e-06,4.897462e-06,1.2344262e-05,0.0005416581,0.00023666378,0.00017759827,7.1468836e-05,5.8591988e-05,0.00015577374,0,0,0
22,2025-08-23T10:17:15.707846,283,0.00013670982,7.930998e-06,5.3751764e-06,9.971278e-06,0.00054441683,0.00018796137,0.00017540513,7.464474e-05,6.0112445e-05,0.0001645703,0,0,0
23,2025-08-23T10:17:16.157605,300,0.00014469177,8.021622e-06,4.0625164e-06,1.1613038e-05,0.0005562989,0.00024408665,0.0001789709,7.4112744e-05,5.878815e-05,0.00016627148,0,0,0
24,2025-08-23T10:17:16.612506,278,0.00013430929,7.690139e-06,5.349175e-06,1.0491605e-05,0.0005018618,0.00023688174,0.00016588079,7.297944e-05,5.732069e-05,0.00015032828,0,0,0
25,2025-08-23T10:17:17.061983,279,0.00013470811,6.7018427e-06,5.808756e-06,1.1340506e-05,0.00051110296,0.00021966833,0.00016724547,7.993163e-05,5.7801975e-05,0.00015277164,0,0,0
26,2025-08-23T10:17:17.513830,269,0.00013018084,7.687014e-06,5.391309e-06,1.002161e-05,0.00049221504,0.0002065802,0.00015707462,7.636949e-05,6.3381754e-05,0.00015290658,0,0,0
27,2025-08-23T10:17:17.961875,290,0.00014020187,9.1944885e-06,4.384711e-06,9.447773e-06,0.0005434562,0.00023918418,0.00016104593,7.923403e-05,6.451343e-05,0.0001513561,0,0,0
28,2025-08-23T10:17:18.416135,268,0.0001293662,8.45761e-06,4.627638e-06,1.1777159e-05,0.00051319157,0.00018547426,0.0001452279,7.7926285e-05,6.8911555e-05,0.00014870198,0,0,0
29,2025-08-23T10:17:18.942226,272,0.00013157126,1.0156451e-05,5.8032197e-06,1.1035241e-05,0.00048225108,0.00023513765,0.00014149515,7.727867e-05,6.8667214e-05,0.00015231647,0,0,0
